Tаблица 1;;;;;;;;;;;;;
;Длина, L;Вылет крюка, l;Радиус загиба, R;Диаметр, d;Длина резьбы, l0;Длина отгиба, l1;Длина вылета с отгибом, l2;Смещение отгиба, l3;Радиус отгиба, r;Масса 1.1;Масса 1.2;Масса 2.1;Масса 5
12_150;150;40;12;12;80;100;50;25;8;;;;0,13
12_200;200;40;12;12;80;100;50;25;8;;;;0,18
12_250;250;40;12;12;80;100;50;25;8;;;;0,22
12_300;300;40;12;12;80;100;50;25;8;0.35;0.35;;0,27
12_350;350;40;12;12;80;100;50;25;8;;;;0,31
12_400;400;40;12;12;80;100;50;25;8;0.44;0.44;;0,35
12_450;450;40;12;12;80;100;50;25;8;;;;0,40
12_500;500;40;12;12;80;100;50;25;8;0.52;0.52;;0,44
12_600;600;40;12;12;80;100;50;25;8;0.61;0.61;;0,53
12_710;710;40;12;12;80;100;50;25;8;0.71;0.71;;
12_800;800;40;12;12;80;100;50;25;8;0.79;0.79;;
12_900;900;40;12;12;80;100;50;25;8;0.88;0.88;;
12_1000;1000;40;12;12;80;100;50;25;8;0.97;0.97;;
16_150;150;50;16;16;90;130;60;30;10;;;;0,24
16_200;200;50;16;16;90;130;60;30;10;;;0.92;0,32
16_250;250;50;16;16;90;130;60;30;10;;;0.99;0,39
16_300;300;50;16;16;90;130;60;30;10;0.66;0.66;1.07;0,47
16_350;350;50;16;16;90;130;60;30;10;;;1.15;0,55
16_400;400;50;16;16;90;130;60;30;10;0.82;0.82;1.23;0,63
16_450;450;50;16;16;90;130;60;30;10;;;1.31;0,71
16_500;500;50;16;16;90;130;60;30;10;0.97;0.97;1.39;0,79
16_600;600;50;16;16;90;130;60;30;10;1.13;1.13;1.55;0,95
16_710;710;50;16;16;90;130;60;30;10;1.31;1.31;1.72;1,12
16_800;800;50;16;16;90;130;60;30;10;1.45;1.45;1.86;1,26
16_900;900;50;16;16;90;130;60;30;10;1.6;1.6;2.02;1,42
16_1000;1000;50;16;16;90;130;60;30;10;1.77;1.77;2.18;
16_1120;1120;50;16;16;90;130;60;30;10;1.95;1.95;2.37;
16_1250;1250;50;16;16;90;130;60;30;10;2.15;2.15;2.57;
20_150;150;60;20;20;100;160;80;40;10;;;;
20_200;200;60;20;20;100;160;80;40;10;;;1.56;0,49
20_250;250;60;20;20;100;160;80;40;10;;;1.69;0,62
20_300;300;60;20;20;100;160;80;40;10;;;1.81;0,74
20_350;350;60;20;20;100;160;80;40;10;;;1.93;0,86
20_400;400;60;20;20;100;160;80;40;10;1.32;1.32;2.06;0,99
20_450;450;60;20;20;100;160;80;40;10;;;2.18;1,11
20_500;500;60;20;20;100;160;80;40;10;1.57;1.57;2.30;1,23
20_600;600;60;20;20;100;160;80;40;10;1.81;1.81;2.55;1,48
20_710;710;60;20;20;100;160;80;40;10;2.09;2.09;2.82;1,75
20_800;800;60;20;20;100;160;80;40;10;2.31;2.31;3.04;1,97
20_900;900;60;20;20;100;160;80;40;10;2.55;2.55;3.29;2,22
20_1000;1000;60;20;20;100;160;80;40;10;2.8;2.8;3.53;
20_1120;1120;60;20;20;100;160;80;40;10;3.1;3.1;3.84;
20_1250;1250;60;20;20;100;160;80;40;10;3.43;3.43;4.15;
20_1320;1320;60;20;20;100;160;80;40;10;3.6;3.6;4.32;
20_1400;1400;60;20;20;100;160;80;40;10;3.79;3.79;4.52;
20_1500;1500;60;20;20;100;160;80;40;10;;;4.77;
24_200;200;75;24;24;110;200;100;50;20;;;;
24_250;250;75;24;24;110;200;100;50;20;;;2.74;0,89
24_300;300;75;24;24;110;200;100;50;20;;;2.91;1,06
24_350;350;75;24;24;110;200;100;50;20;;;3.09;1,24
24_400;400;75;24;24;110;200;100;50;20;;;3.27;1,42
24_450;450;75;24;24;110;200;100;50;20;;;3.35;1,60
24_500;500;75;24;24;110;200;100;50;20;2.35;2.35;3.62;1,77
24_600;600;75;24;24;110;200;100;50;20;2.71;2.71;3.98;2,13
24_710;710;75;24;24;110;200;100;50;20;3.1;3.1;4.37;2,52
24_800;800;75;24;24;110;200;100;50;20;3.42;3.42;4.69;2,84
24_900;900;75;24;24;110;200;100;50;20;3.77;3.77;5.04;3,19
24_1000;1000;75;24;24;110;200;100;50;20;4.13;4.13;5.40;
24_1120;1120;75;24;24;110;200;100;50;20;4.56;4.56;5.83;
24_1250;1250;75;24;24;110;200;100;50;20;5.03;5.03;6.29;
24_1320;1320;75;24;24;110;200;100;50;20;5.28;5.28;6.54;
24_1400;1400;75;24;24;110;200;100;50;20;5.55;5.55;6.82;
24_1500;1500;75;24;24;110;200;100;50;20;5.9;5.9;7.10;
24_1600;1600;75;24;24;110;200;100;50;20;6.26;6.26;7.53;
24_1700;1700;75;24;24;110;200;100;50;20;6.61;6.61;7.88;
30_250;250;90;30;30;120;250;120;60;20;;;4.70;1,39
30_300;300;90;30;30;120;250;120;60;20;;;4.98;1,67
30_350;350;90;30;30;120;250;120;60;20;;;5.25;1,94
30_400;400;90;30;30;120;250;120;60;20;;;5.53;2,22
30_450;450;90;30;30;120;250;120;60;20;;;5.81;2,50
30_500;500;90;30;30;120;250;120;60;20;;;6.08;2,77
30_600;600;90;30;30;120;250;120;60;20;4.55;4.55;6.64;3,33
30_710;710;90;30;30;120;250;120;60;20;5.16;5.16;7.25;3,94
30_800;800;90;30;30;120;250;120;60;20;5.66;5.66;7.75;4,44
30_900;900;90;30;30;120;250;120;60;20;6.22;6.22;8.30;4,99
30_1000;1000;90;30;30;120;250;120;60;20;6.77;6.77;8.86;
30_1120;1120;90;30;30;120;250;120;60;20;7.43;7.43;9.53;
30_1250;1250;90;30;30;120;250;120;60;20;8.15;8.15;10.25;
30_1320;1320;90;30;30;120;250;120;60;20;8.53;8.53;10.64;
30_1400;1400;90;30;30;120;250;120;60;20;8.99;8.99;11.07;
30_1500;1500;90;30;30;120;250;120;60;20;9.54;9.54;11.63;
30_1600;1600;90;30;30;120;250;120;60;20;10.1;10.1;12.18;
30_1700;1700;90;30;30;120;250;120;60;20;10.65;10.65;12.74;
30_1800;1800;90;30;30;120;250;120;60;20;11.21;11.21;13.29;
30_1900;1900;90;30;30;120;250;120;60;20;11.76;11.76;13.85;
30_2000;2000;90;30;30;120;250;120;60;20;12.32;12.32;;
36_300;300;110;36;36;130;300;140;70;30;;;7.60;2,40
36_350;350;110;36;36;130;300;140;70;30;;;7.99;2,79
36_400;400;110;36;36;130;300;140;70;30;;;8.39;3,19
36_450;450;110;36;36;130;300;140;70;30;;;8.79;3,59
36_500;500;110;36;36;130;300;140;70;30;;;9.19;3,99
36_600;600;110;36;36;130;300;140;70;30;;;9.99;4,79
36_710;710;110;36;36;130;300;140;70;30;7.59;7.59;10.87;5,67
36_800;800;110;36;36;130;300;140;70;30;8.31;8.31;11.59;6,39
36_900;900;110;36;36;130;300;140;70;30;9.1;9.1;12.39;7,19
36_1000;1000;110;36;36;130;300;140;70;30;9.91;9.91;13.18;
36_1120;1120;110;36;36;130;300;140;70;30;10.85;10.85;14.14;
36_1250;1250;110;36;36;130;300;140;70;30;11.88;11.88;15.19;
36_1320;1320;110;36;36;130;300;140;70;30;12.43;12.43;15.75;
36_1400;1400;110;36;36;130;300;140;70;30;13.1;13.1;16.38;
